"CVE","CVSS","Title","Info","Threat Category","Product"
"CVE-2024-32002","9","CVE-2024-32002 Recursive clones on case-insensitive filesystems that support symlinks are susceptible to Remote Code Execution","","Remote Code Execution","Developer Tools"
"CVE-2024-30006","8.8","Microsoft WDAC OLE DB provider for SQL Server Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30007","8.8","Microsoft Brokering File System Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30009","8.8","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30010","8.8","Windows Hyper-V Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30017","8.8","Windows Hyper-V Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30044","8.8","Microsoft SharePoint Server Remote Code Execution Vulnerability","","Remote Code Execution","Microsoft Office"
"CVE-2024-30020","8.1","Windows Cryptographic Services Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-32004","8.1","GitHub: CVE-2024-32004 Remote Code Execution while cloning special-crafted local repositories","","Remote Code Execution","Developer Tools"
"CVE-2024-29996","7.8","Windows Common Log File System Driver Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30018","7.8","Windows Kernel Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-26238","7.8","Microsoft PLUGScheduler Scheduled Task Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-29994","7.8","Microsoft Windows SCSI Class System File Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30025","7.8","Windows Common Log File System Driver Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30027","7.8","NTFS Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30028","7.8","Win32k Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30030","7.8","Win32k Elevation of Privilege Vulnerability","","Elevation of Privilege","ESU"
"CVE-2024-30031","7.8","Windows CNG Key Isolation Service Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30032","7.8","Windows DWM Core Library Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30035","7.8","Windows DWM Core Library Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30038","7.8","Win32k Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30042","7.8","Microsoft Excel Remote Code Execution Vulnerability","","Remote Code Execution","Microsoft Office"
"CVE-2024-30049","7.8","Windows Win32 Kernel Subsystem Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30047","7.6","Dynamics 365 Customer Insights Spoofing Vulnerability","","Spoofing","Microsoft Dynamics"
"CVE-2024-30048","7.6","Dynamics 365 Customer Insights Spoofing Vulnerability","","Spoofing","Microsoft Dynamics"
"CVE-2024-30014","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30015","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30022","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30023","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30024","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30029","7.5","Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability","","Remote Code Execution","Windows"
"CVE-2024-30037","7.5","Windows Common Log File System Driver Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
"CVE-2024-30033","7","Windows Search Service Elevation of Privilege Vulnerability","","Elevation of Privilege","Windows"
